,Name,Continent,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Youth,Children,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
159,Bigrock Mountain,America,200,498,20.0,2.0,14.0,4.0,,2.0,40,30,,,nan,,, 09:00,16:00
160,Wintergreen Resort,America,766,1071,10.0,2.0,4.0,4.0,,5.0,,,,,nan,,,,nan
161,Shawnee Mountain,America,145,350,18.0,4.0,9.0,5.0,,6.0,65,50,,,nan,,, 09:00,21:00
162,Pine Creek,America,2095,2508,16.0,4.0,7.0,5.0,,1.0,45,35,,,nan,,, 09:30,16:00
163,Wisp – McHenry (Deep Creek Lake),America,736,950,16.0,5.6,6.1,4.3,,8.0,89,69,,,nan,,, 10:00,16:00
164,Plattekill,America,696,1014,16.5,4.5,6.0,6.0,,3.0,67,50,,,nan,,, 08:45,16:15
165,Kissing Bridge,America,378,520,17.8,4.5,4.8,8.5,,8.0,,,,,nan,,,,nan
166,Eaglecrest – Juneau,America,350,820,17.0,3.4,6.8,6.8,,4.0,59,45,30,,nan,,, 09:00,15:00
167,Snowy Range,America,2678,2945,16.5,4.5,9.0,3.0,,4.0,49,42,30,,nan,,, 09:00,16:00
168,Blue Knob,America,634,960,16.0,5.0,8.0,3.0,,4.0,75,70,,,nan,,, 10:00,21:00
169,Skiland – Mt. Aurora,America,425,745,17.0,4.0,9.0,4.0,,1.0,40,35,20,,nan,,, 10:00,17:00Limited opening times during the week
170,Boyne Mountain,America,220,372,14.0,4.5,6.0,3.5,,10.0,98,82,72,,nan,,, 09:00,16:30
171,Labrador Mountain,America,360,570,17.0,6.0,6.0,5.0,,4.0,61,51,,,nan, early December,, 09:00,16:30Limited opening times during the week
172,Hoodoo Ski Area,America,1430,1740,17.0,6.0,8.0,3.0,,5.0,59,36,,,nan,,, 09:00,16:00
173,Alpental,America,962,1670,9.6,0.5,2.3,6.8,,4.0,,,,,nan,,,,nan
174,Snow King Mountain – Jackson,America,1900,2380,9.0,3.0,2.5,3.5,,5.0,59,49,,,nan, early December,, 10:00,16:00
175,Giants Ridge,America,440,560,12.0,4.0,5.0,3.0,,6.0,58,42,,,nan,,, 09:30,16:30
176,"[""Nub's Nob Ski Area""]",America,280,403,18.9,6.2,9.0,3.7,,11.0,85,73,63,,nan,,, 09:00,16:30
177,Sipapu,America,2500,2825,18.0,3.0,7.0,8.0,,5.0,55,40,,,nan,,, 09:00,16:00
178,Middlebury College Snow Bowl,America,555,810,15.0,5.0,4.0,6.0,,3.0,60,50,20,,nan,,, 08:30,16:00Limited opening times during the week
179,Pomerelle,America,2358,2640,15.0,4.0,7.0,4.0,,2.0,45,33,,,nan,,, 09:00,16:00Limited opening times during the week
180,Berkshire East,America,201,561,13.0,6.0,4.0,3.0,,4.0,72,58,,,nan,,, 09:00,16:30
181,Sleeping Giant,America,2025,2265,17.0,3.0,8.0,6.0,,2.0,46,32,22,,nan,,, 09:30,16:00
182,Catamount,America,280,580,15.0,8.0,4.0,3.0,,5.0,,,,,nan,,,,nan
183,Beech Mountain,America,1424,1678,14.0,3.0,7.0,4.0,,7.0,,,,,nan,,,,nan
184,Whitetail,America,261,545,10.2,1.5,5.6,3.1,,6.0,79,67,,,nan,,, 08:30,22:00
185,Dollar Mountain – Sun Valley,America,1832,2023,9.0,7.0,2.0,0.0,,4.0,139,79,,,nan,,,,nan
186,Kelly Canyon,America,1780,2030,12.0,4.0,5.0,3.0,,4.0,42,33,,,nan,,, 09:30,17:00
