,Nombre
290,Grebenzen – St. Lambrecht
291,Jahorina
292,Font-Romeu/Bolquère Pyrénées 2000
293,Sainte-Foy-Tarentaise
294,Melchsee-Frutt (Kerns)
295,Cimone – Montecreto/Sestola/Le Polle
296,Monte Popolo – Eben im Pongau
297,Söllereck – Oberstdorf
298,Keilberg (Klínovec)
299,Nesselwang – Alpspitze (Alpspitzbahn)
300,Feuerkogel – Ebensee
301,Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen
302,Mitterdorf (Almberg) – Mitterfirmiansreut
303,Goldeck – Spittal an der Drau
304,Betelberg – Lenk
305,Super Sauze
306,Les Karellis
307,Saint Luc/Chandolin (Anniviers)
308,Gourette (Eaux Bonnes)
309,Voss Resort
310,Chäserrugg – Unterwasser/Alt St. Johann (Toggenburg)
311,Les Angles
312,St. Jean Montclar
313,Courmayeur – Chécrouit/Val Veny
314,Leysin
315,Arkhyz
316,Arkhyz
317,Kolašin 1450/Kolašin 1600
318,San Domenico – Alpe Ciamporino
319,Charmey
320,Le Lioran
321,Vals 3000 – Dachberg
322,Gschwandtkopf – Seefeld
323,SnowWorld Landgraaf
324,Ochsenkopf
325,Gazprom Mountain Resort
326,Jungholz
327,Nordkette – Innsbruck
328,Lipno
329,Mount Parnassos – Fterolakka/Kellaria
330,Oppdal
331,Valchiavenna – Madesimo/Campodolcino
332,Krasnaya Polyana Resort
333,Oberaudorf – Hocheck
334,Snow Dome Bispingen
335,Winterberg (Skiliftkarussell)
336,Zauberberg Semmering
337,Santa Caterina Valfurva
338,Rangger Köpfl – Oberperfuss
339,Abetone/Val di Luce
340,Piani di Bobbio
341,Mariborsko Pohorje – Maribor
342,Praz de Lys/Sommand (Taninges/Mieussy)
343,Le Lys – Cauterets
344,Le Seignus
345,Stuhleck – Spital am Semmering
346,Watles – Malles Venosta (Mals)
347,Hochkössen (Unterberghorn) – Kössen
348,Beitostølen Skisenter
349,Leukerbad
350,Panticosa
351,Boí Taüll
352,Pichlberg – Reinswald (San Martino in Sarentino)
353,Espot Esqui
354,Nara – Leontica
355,Mythenregion
356,Candanchú
357,Bosco Gurin – Grossalp
358,Markbachjoch/Lanerköpfl – Niederau
359,Zoncolan – Ravascletto/Sutrio
