,Adults,Youth,Children
387,,,
388," 45,- approx. "," 34,- approx. "," 23,-__"
389," 35,- "," 24,- "," 18,-__"
390,,,
391," 49,- ", 24.50 ," 37,-__"
392," 42,- ", 34.50 ," 26,-__"
393," 42,- ", 34.50 , 26.50__
394,,,
395," 47,- approx. "," 38,- approx. "," 23,-__"
396," 57,- ", 48.50__,
397,,,
398,,,
399,,,
400," 32,- approx. "," 19,-__",
401,,,
402,,,
403,,,
404," 39,- "," 29,- "," 16,-__"
405, 39.50 ," 30,- "," 10,-__"
406," 19,- "," 9,-__",
407," 41,- "," 31,- ", 20.50__
408,,,
409,,,
410,,,
411,,,
412,,,
413," 35,- ", 29.50 , 18.50__
414,,,
415," 39,- approx. "," 30,- approx. "," 25,-__"
416," 30,- "," 24,- "," 20,-__"
417, 26.95 , 22.90 , 19.80__
418,,,
419, 49.50 , 39.50 ," 25,-__"
420," 23,- "," 17,-__",
421,,,
422," 38,- approx. "," 31,- approx. "," 24,-__"
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429," 48,- approx. "," 39,-__",
430,,,
431,,,
432," 43,- "," 34,- ", 22.50__
433,,,
434, 31.50 ," 28,- ", 25.50__
435,,,
436,,,
437, 29.80 ," 21,-__",
438," 30,- "," 25,- "," 15,-__"
439," 34,- "," 30,- "," 18,-__"
440," 22,- "," 18,- "," 16,-__"
441," 28,- "," 24,- "," 17,-__"
442,,,
443," 33,- "," 28,- "," 19,-__"
444," 32,- ", 22.50__,
445," 32,- approx. "," 23,- approx. "," 18,-__"
446, 35.50 ," 30,- ", 19.50__
447,,,
448,,,
449, 28.90 , 23.60__,
450,,,
451," 27,- "," 20,-__",
452,,,
453," 35,- ", 19.50__,
454," 20,- approx. "," 16,- approx. "," 13,-__"
455," 42,- approx. "," 27,-__",
456,,,
457,,,
458," 41,- approx. "," 34,-__",
459,,,
460," 32,- "," 28,- ", 25.50__
461," 28,- "," 25,- "," 20,-__"
462,,,
463,,,
464,,,
465,,,
466, 38.50 ," 36,- "," 21,-__"
467,,,
468, 39.50 ," 30,- "," 10,-__"
469,,,
470,,,
471,,,
472," 56,- "," 39,-__",
473," 38,- "," 20,-__",
474,,,
475, 33.40 , 24.70__,
476," 38,- "," 20,-__",
477, 36.50 , 31.50__,
478," 26,- "," 15,-__",
479," 27,- "," 24,- "," 20,-__"
480, 34.50 , 20.50__,
481," 49,- ", 43.50__,
482," 41,- "," 32,- "," 18,-__"
483,,,
484," 39,- "," 31,- "," 19,-__"
485,,,
486," 31,- approx. "," 22,-__",
487," 45,- approx. "," 39,- approx. "," 32,-__"
488,,,
489,,,
490,,,
491," 39,- approx. "," 30,- approx. "," 25,-__"
492," 29,- ", 24.50__,
493," 19,- approx. "," 15,-__",
494, 36.50 , 27.50 ," 19,-__"
495,,,
496," 37,- approx. "," 25,-__",
497,,,
