,Pistas_Totales,Easy,Intermediate,Difficult,Aditional_Routes
767,8.3,3.8,2.4,2.1,
768,10.4,5.4,4,1,6.3
769,21.7,12.2,5.8,3.7,
770,20.1,13.2,4.4,2.5,
771,1.5,1.5,0,0,
772,12,0,9,3,2
773,2.5,0.5,2,0,
774,7.5,4.9,1.2,1.4,
775,11.5,2.5,8,1,
776,7,1,5,1,
777,8,2,5,1,
778,4,1,2,1,
779,8,2.8,3.6,1.6,
780,9,3,6,0,
781,4,1,3,0,
782,12,2,8.5,1.5,
783,2.5,0.8,1.7,0,
784,0.7,0.7,0,0,
785,4,2,1.2,0.8,
786,0.8,0.8,0,0,
787,11.8,10,1.3,0.5,0.8
788,2,1.3,0.7,0,
789,1,1,0,0,
790,0.5,0.4,0.1,0,
791,10,1.2,6.1,2.7,
792,13.3,3.8,4.9,4.6,
793,17,11,6,0,
794,8,3.7,3,1.3,
795,5,2,3,0,2
796,8,2.2,5.8,0,
797,12,8,2,2,
798,16,7,5,4,
799,9,4,3,2,
800,12.8,7.5,4.1,1.2,
801,7,1,6,0,
802,4.3,1.9,1.8,0.6,
803,8,3,3,2,
804,5,2.5,2,0.5,
805,8.7,2.9,1.8,4,
806,7,3,2.5,1.5,
807,12.1,2,5.4,4.7,
808,7.5,1.5,6,0,
809,10.5,6,3,1.5,
810,10.1,3.4,6.7,0,
811,7,4,2,1,
812,7,3,3,1,
813,17.5,10,5,2.5,
814,15,10,3,2,
815,16,10,4,2,
816,17,8,7,2,
817,9.6,5,3.1,1.5,
818,8,1.5,5.3,1.2,
819,14,3,7,4,
820,10,4,5,1,
821,11,6,4,1,
822,8.5,2,4.6,1.9,3.5
823,15.7,7.6,6.5,1.6,
824,9,3,4,2,
825,7.6,3.5,3.6,0.5,
826,8,1,7,0,
827,18,4,3,11,
828,9,4,3,2,4
829,10,0.3,7.5,2.2,
830,6,4,2,0,
831,10,2,6,2,
832,1.2,0.2,1,0,
833,4,2.1,1,0.9,
834,2.5,1.5,1,0,
835,7.7,5.4,1,1.3,
836,16,11,5,0,
837,12,4,8,0,1
838,10,1,7.5,1.5,2
839,13,8,4,1,
840,10.8,5,4.8,1,
841,16,10.2,4.9,0.9,
842,5,4,1,0,
843,8.1,5,2,1.1,
844,20,10,10,0,
845,8,2,5.5,0.5,
846,2,0,1.4,0.6,
847,9.7,5,4.7,0,
848,5,2,2.5,0.5,
849,13,7,4,2,
850,15,4,8,3,
851,7,3.2,3.8,0,
